id,symbol,base,quote,status,contractType,linear,pricePrecision,amountPrecision,minQty,minNotional,tickSize,stepSize
MORPHOUSDT,MORPHO/USDT:USDT,MORPHO,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
MOVEUSDT,MOVE/USDT:USDT,MOVE,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
MOVRUSDT,MOVR/USDT:USDT,MOVR,USDT,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
MTLUSDT,MTL/USDT:USDT,MTL,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
MUBARAKUSDT,MUBARAK/USDT:USDT,MUBARAK,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
MYROUSDT,MYRO/USDT:USDT,MYRO,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
MYXUSDT,MYX/USDT:USDT,MYX,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
NAORISUSDT,NAORIS/USDT:USDT,NAORIS,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
NEARUSDC,NEAR/USDC:USDC,NEAR,USDC,TRADING,PERPETUAL,True,0.001,1.0,1.0,5.0,0.001,1.0
NEARUSDT,NEAR/USDT:USDT,NEAR,USDT,TRADING,PERPETUAL,True,0.001,1.0,1.0,5.0,0.001,1.0
NEIROUSDT,NEIRO/USDT:USDT,NEIRO,USDT,TRADING,PERPETUAL,True,1e-08,1.0,1.0,5.0,1e-08,1.0
NEIROETHUSDT,NEIROETH/USDT:USDT,NEIROETH,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
NEOUSDC,NEO/USDC:USDC,NEO,USDC,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
NEOUSDT,NEO/USDT:USDT,NEO,USDT,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
NEWTUSDT,NEWT/USDT:USDT,NEWT,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
NFPUSDT,NFP/USDT:USDT,NFP,USDT,TRADING,PERPETUAL,True,0.0001,0.1,0.1,5.0,0.0001,0.1
NKNUSDT,NKN/USDT:USDT,NKN,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
NMRUSDT,NMR/USDT:USDT,NMR,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
NOTUSDT,NOT/USDT:USDT,NOT,USDT,TRADING,PERPETUAL,True,1e-06,1.0,1.0,5.0,1e-06,1.0
NTRNUSDT,NTRN/USDT:USDT,NTRN,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
NULSUSDT,NULS/USDT:USDT,NULS,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
NXPCUSDT,NXPC/USDT:USDT,NXPC,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
OBOLUSDT,OBOL/USDT:USDT,OBOL,USDT,TRADING,PERPETUAL,True,1e-05,0.1,0.1,5.0,1e-05,0.1
OGUSDT,OG/USDT:USDT,OG,USDT,TRADING,PERPETUAL,True,0.001,0.01,0.01,5.0,0.001,0.01
OGNUSDT,OGN/USDT:USDT,OGN,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
OLUSDT,OL/USDT:USDT,OL,USDT,TRADING,PERPETUAL,True,1e-05,1.0,1.0,5.0,1e-05,1.0
OMUSDT,OM/USDT:USDT,OM,USDT,TRADING,PERPETUAL,True,1e-05,0.1,0.1,5.0,1e-05,0.1
OMGUSDT,OMG/USDT:USDT,OMG,USDT,TRADING,PERPETUAL,True,0.001,0.1,0.1,5.0,0.001,0.1
OMNIUSDT,OMNI/USDT:USDT,OMNI,USDT,TRADING,PERPETUAL,True,1e-05,0.01,0.01,5.0,1e-05,0.01
ONDOUSDT,ONDO/USDT:USDT,ONDO,USDT,TRADING,PERPETUAL,True,0.0001,1.0,1.0,5.0,0.0001,1.0
